Column1,Column2,Column3,Column4,Column5,Column6,Column7
Company Name,Website URL,Contact Number,Location/Address,Industry/Category,Company Description,Email Address
Geeks On Site,,,,Computers & Computer Equipment-Service & Repair,,
AAA All Voice And Data Inc.,,,,Computer Cable & Wire InstallationComputer System Designers & Consultants,,
My Computer Works,,(800) 262-2219,,Computer Service & Repair-BusinessComputer Technical Assistance & Support ServicesComputer Software & Services,,
Geeks On Site,,(800) 531-2349,,Computers & Computer Equipment-Service & Repair,,
My Computer Works,,(877) 201-0623,,Computers & Computer Equipment-Service & Repair,,
Geeks on Site,,(877) 223-4607,,Computer Software & ServicesComputer Printers & SuppliesHome Theater Systems,,
AAA All Voice And Data Inc.,https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1730877045529.dc29571f&ADID=11857609&DEST=https%3A%2F%2Faaa-avadny.mydex.com%2F9jX5aKjS4JQ&C=IT%20Services&T=Brooklyn&S=NY&PH=(646)%20921-7849&FL=url&TL=off&position=4&PS=30&PI=1&Results=FEED_CLCK&uid=dc29571f-e4e8-4dff-ad65-954498a796d9&REF=&IP=34.30.185.145&UserAgent=Mozilla%2F5.0%20(Windows%20NT%2010.0%3B%20Win64%3B%20x64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F70.0.3538.77%20Safari%2F537.36,(646) 921-7849,303 Avenue P Apt F7,Telecommunications ConsultantsComputer Network Design & SystemsComputer System Designers & Consultants,,
Jean Martin Insurance Inc,https://www.jeanmartin.com/contact.html,(833) 277-0597,"551 5Th Avenue, Suite 1425",Concrete ContractorsComputer Technical Assistance & Support ServicesSeptic Tanks & Systems,,
EgeekPRO INC,,(212) 388-5943,42 Broadway,Computers & Computer Equipment-Service & RepairTelephone Equipment & Systems-Repair & ServiceMobile Device Repair,,
SourceCom Communications,,(844) 768-7240,275 Madison Ave,Utility CompaniesTelephone CompaniesComputers & Computer Equipment-Service & Repair,,
Computer Overhauls,http://www.computeroverhauls.com,(212) 216-9711,7 Penn Plz Ste 749,Computer & Equipment DealersConsumer ElectronicsComputers & Computer Equipment-Service & Repair,,
New York Computer Help - Midtown,http://www.newyorkcomputerhelp.com,(212) 599-0339,"53 E 34th St, 3rd Floor",Computers & Computer Equipment-Service & RepairComputer Data RecoveryHome Theater Systems,,
TecProtocol Business Solutions,http://www.tecprotocol.com,(212) 500-6644,"353 W 48th St, Suite# 454",Computer Software & ServicesCopiers & Supplies-Wholesale & ManufacturersPrinters-Equipment & Supplies,,
ABC Computer Service,http://abccomputerservices.com,(212) 725-3511,15 E 40th St Rm 903,Computer Service & Repair-BusinessComputers & Computer Equipment-Service & Repair,,
Computer Guys,,(212) 414-0321,18 E 16th St,Computer Service & Repair-BusinessComputer & Equipment DealersComputer Technical Assistance & Support Services,,
Jay Shapiro Computers,https://www.jayshapirocomputers.com/contact,(877) 747-1711,1313 3rd Ave,Computer Software & ServicesMachine ShopsMachinery Cleaning Service,,
Thirty5Tech - NYC Computer Repair,http://www.thirty5tech.com,(917) 508-6047,35 Fort Washington Ave Apt 3c,Computer Technical Assistance & Support ServicesComputer Service & Repair-BusinessComputers & Computer Equipment-Service & Repair,,
NY Citi Technologies,,(917) 267-9816,On-Site Services,Computer System Designers & ConsultantsComputer Software & ServicesComputer Rooms-Installation & Equipment,,
NyITTech - Computer Repair NYC,,(718) 360-2750,360 W 57th St,Computer Data RecoveryComputer Online ServicesComputer Software & Services,,
Mike's Tech Shop,http://www.mikestechshop.com,(212) 924-6453,120 W 20th St,Computers & Computer Equipment-Service & RepairComputer Hardware & Supplies,,
Link Sys,,(646) 370-1963,303 W 42nd St Ste 52,Mobile Home Equipment & PartsMobile Home Repair & ServiceComputer Software & Services,,
b4computers,http://www.b4computers.com,(718) 675-4069,28 Warren ST,Computer System Designers & ConsultantsComputer Technical Assistance & Support ServicesComputer Service & Repair-Business,,
JoeNYC,http://www.joenyc.com,(212) 777-2986,77 Bleecker St Apt C2-21,Computer Network Design & SystemsComputer System Designers & ConsultantsComputer Technical Assistance & Support Services,,
Invenio IT,http://invenioit.com,(646) 395-1170,122 W 26th St,Computer & Equipment DealersComputer Printers & SuppliesComputer Technical Assistance & Support Services,,
NYC Data Recovery Services,http://www.datarecoverynycny.com,(212) 729-6594,373 Park Ave S,Computer Service & Repair-BusinessComputers & Computer Equipment-Service & Repair,,
NIMAX,http://www.gonimax.com,(347) 788-0122,234 5th Ave Fl 405,Computer Data RecoveryComputer Online ServicesComputer Software & Services,,
"YaFix, Apple iPhone, iPad, iPod, & Macbook Repair",http://www.flickr.com/photos/yafix,(347) 669-2349,349 5th Ave,Cellular Telephone ServiceComputers & Computer Equipment-Service & Repair,,
Ramp Up Technology,,(212) 633-0656,108 W 39th St,Computer Online ServicesComputer Software & ServicesComputer Rooms-Installation & Equipment,,
City Tech Wizards,http://www.citytechwizards.com,(646) 820-4369,325 W 38th St Rm 1105,Computer Online ServicesComputer Software & ServicesComputer Rooms-Installation & Equipment,,
Computer Integrated Services Company of Ny,https://www.cisus.com,(212) 577-6033,12 E 44th St,Computer Network Design & SystemsComputer System Designers & ConsultantsSystem Integration Engineers,,
Pc Doctor,,(917) 399-1794,645 12th Ave,Computer Online ServicesComputer Software & ServicesComputer Service & Repair-Business,,
Sentril Tech,,(646) 283-9667,445 E 65th St Apt 6b,Computers & Computer Equipment-Service & Repair,,
iFix New York,http://www.ifixny.com,(212) 933-4440,247 E 77th St,Computer Data RecoveryCellular Telephone Equipment & SuppliesComputers & Computer Equipment-Service & Repair,,
Daniel Express Communications,http://danielexpress.com,(212) 877-2200,495 Amsterdam Ave,Consumer ElectronicsCellular Telephone Equipment & SuppliesCellular Telephone Service,,
